 Intervention Name                  , Description                                                                                        , Approximate Impact on Mortality Rates  , Approximate Per Capita Cost 
 Community Gardens                    , Support community gardens to promote access to fresh and healthy foods.                              , 2-4% reduction in mortality             ,Č10-Č35 per garden plot
 Active Aging Programs                 , Encourage activities that promote active aging for elderly policyholders.                            , 3-6% reduction in mortality             ,Č20-Č85 per program
 Home Safety Inspections               , Offer resources for home safety inspections to prevent accidents.                                   , 3-5% reduction in mortality             ,Č20-Č85 per inspection
 Mindfulness Programs                  , Introduce mindfulness and stress reduction programs.                                                , 3-8% reduction in mortality             ,Č20-Č85 per session
 Parenting Support Services            , Provide resources and support for parents to promote family well-being.                              , 2-4% reduction in mortality             ,Č10-Č35 per session
 Travel Safety Tips                    , Educate policyholders on travel safety to reduce risks during trips.                                  , 2-4% reduction in mortality             ,Č10-Č35 per campaign
 Financial Literacy Workshops          , Conduct workshops on financial literacy to reduce stress related to money management.               , 2-4% reduction in mortality             ,Č20-Č85 per workshop
 Hiking and Outdoor Activities Groups , Facilitate outdoor activities groups to promote physical activity.                                   , 3-6% reduction in mortality             ,Č20-Č85 per group
 Cognitive Health Programs             , Offer resources and activities to support cognitive health.                                          , 3-6% reduction in mortality             ,Č20-Č85 per program
Art and Creativity Classes ,Promote engagement in artistic and creative pursuits for mental well-being.,2-4% reduction in mortality,Č10-Č35 per class
Mind-Body Wellness Retreats,Organize wellness retreats focusing on mind-body balance.,3-6% reduction in mortality,Č90-Č345 per retreat
Incentives for Regular Medication Adherence,Offer rewards for policyholders who consistently adhere to prescribed medications.,2-5% reduction in mortality,Č20-Č85 per incentive
Ergonomic Workstation Assessments,Conduct ergonomic workstation assessments to address workplace ergonomics.,2-4% reduction in mortality   ,Č20-Č85 per assessment
